Latin Layer,English Layer,Skewness,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score
1,1,0,0.08942863,1091.0874680016525,2.44912807900125
2,2,0,0.07482007,977.9968618776649,2.7874026471517106
3,3,0,0.04332197,559.014679628403,3.5755627735593056
4,4,0,0.056142006,746.8555921986955,3.2632092779102884
5,5,0,0.052021675,596.5393389336247,3.1119504796276285
6,6,0,0.052753136,693.3749022483507,3.2284140948247453
7,7,0,0.046668306,686.564807911545,3.386666543370192
8,8,0,0.031987865,546.4325102522957,3.7082542227823385
9,9,0,0.026364636,545.4475726853652,3.1200729243013465
10,10,0,0.03870018,529.1197545185223,3.675360389514097
11,11,0,0.05245304,569.3986544163922,3.6181379381835694
12,12,0,0.040966168,409.9012075456185,3.933804183330578
